iso_code;location;code_continent;population;surface;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;diabetes_prevalence;smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;cardiovasc_death_rate
GEO;Georgia;AS;3989175;61341.72;38.7;14.864;10.244;9745.079;4.2;7.11;30.4;;2.6;73.77;0.812;496.218
DEU;Germany;EU;83783945;353494.89;46.6;21.453;15.957;45229.245;;8.31;30.65;;8.0;81.33;0.947;156.139
GHA;Ghana;AF;31072945;245211.41;21.1;3.385;1.948;4227.63;12.0;4.97;4.0;41.047;0.9;64.07;0.611;298.245
GIB;Gibraltar;EU;33691;9.74;;;;;;;;;;79.93;;
GRC;Greece;EU;10423056;124858.41;45.3;20.396;14.524;24574.382;1.5;4.55;43.65;;4.21;82.24;0.888;175.695
GRL;Greenland;NA;56772;414394.16;;;;;;2.16;;;;71.7;;199.941
GRD;Grenada;NA;112519;354.8;29.4;7.304;5.021;13593.877;;10.71;;;3.7;72.4;0.779;243.964
GTM;Guatemala;NA;17915567;113508.92;22.9;4.694;3.016;7423.808;8.7;10.18;;76.665;0.6;74.3;0.663;155.898
GGY;Guernsey;EU;67052;nan;;;;;;;;;;;;
GIN;Guinea;AF;13132792;253749.24;19.0;3.135;1.733;1998.926;35.3;2.42;;17.45;0.3;61.6;0.477;336.717
GNB;Guinea-Bissau;AF;1967998;29732.1;19.4;3.002;1.565;1548.675;67.1;2.42;;6.403;;58.32;0.48;382.474
GUY;Guyana;SA;786559;199028.08;26.3;5.305;2.837;7435.047;;11.62;;77.159;1.6;69.91;0.682;373.159
HTI;Haiti;NA;11402533;28617.36;24.3;4.8;2.954;1653.173;23.5;6.65;13.0;22.863;0.7;64.0;0.51;430.548
HND;Honduras;NA;9904608;119613.64;24.9;4.652;2.883;4541.795;16.0;7.21;;84.169;0.7;75.27;0.634;240.208
HKG;Hong Kong;AS;7496988;1064.95;44.8;16.303;10.158;56054.92;;8.33;;;;84.86;0.949;
HUN;Hungary;EU;9660350;89412.08;43.4;18.577;11.976;26777.561;0.5;7.55;30.8;;7.02;76.88;0.854;278.296
ISL;Iceland;EU;341250;100249.7;37.3;14.431;9.207;46482.958;0.2;5.31;14.75;;2.91;82.99;0.949;117.992
IND;India;AS;1380004385;3063823.65;28.2;5.989;3.414;6426.674;21.2;10.39;11.25;59.55;0.53;69.66;0.645;282.28
IDN;Indonesia;AS;273523621;1876984.87;29.3;5.319;3.053;11188.744;5.7;6.32;39.45;64.204;1.04;71.72;0.718;342.864
IRN;Iran;AS;83992953;1685556.24;32.4;5.44;3.182;19082.62;0.2;9.59;10.95;;1.5;76.68;0.783;270.308
IRQ;Iraq;AS;40222503;456425.56;20.0;3.186;1.957;15663.986;2.5;8.83;;94.576;1.4;70.6;0.674;218.612
IRL;Ireland;EU;4937796;70667.14;38.7;13.928;8.678;67335.293;0.2;3.28;24.35;;2.96;82.3;0.955;126.459
IMN;Isle of Man;EU;85032;575.03;;;;;;;;;;81.4;;
ISR;Israel;AS;8655541;21498.78;30.6;11.733;7.359;33132.32;0.5;6.74;25.4;;2.99;82.97;0.919;93.32
ITA;Italy;EU;60461828;293705.05;47.9;23.021;16.24;35220.084;2.0;4.78;23.8;;3.18;83.51;0.892;113.151
JAM;Jamaica;NA;2961161;11095.51;31.4;9.684;6.39;8193.571;;11.28;16.95;66.425;1.7;74.47;0.734;206.537
JPN;Japan;AS;126476458;363670.09;48.2;27.049;18.493;39002.223;;5.72;22.45;;13.05;84.63;0.919;79.37
JEY;Jersey;EU;101073;nan;;;;;;;;;;;;
JOR;Jordan;AS;10203140;93362.67;23.2;3.81;2.361;8337.49;0.1;11.75;;;1.4;74.53;0.729;208.257
KAZ;Kazakhstan;AS;18776707;2810463.55;30.6;6.991;4.625;24055.588;0.1;7.11;25.05;98.999;6.7;73.6;0.825;466.792
KEN;Kenya;AF;53771300;615767.71;20.0;2.686;1.528;2993.028;36.8;2.92;10.8;24.651;1.4;66.7;0.601;218.637
KWT;Kuwait;AS;4270563;18397.44;33.7;2.345;1.114;65530.537;;15.84;19.85;;2.0;75.49;0.806;132.235
KGZ;Kyrgyzstan;AS;6524191;201781.18;26.3;4.489;2.882;3393.474;1.4;7.11;27.05;89.22;4.5;71.45;0.697;436.362
LAO;Laos;AS;7275556;244844.55;24.4;4.029;2.322;6397.36;22.7;4.0;29.25;49.839;1.5;67.92;0.613;368.111
LVA;Latvia;EU;1886202;60431.94;43.9;19.754;14.136;25063.846;0.7;4.91;38.3;;5.57;75.29;0.866;350.06
LBN;Lebanon;AS;6825442;11479.8;31.1;8.514;5.43;13367.565;;12.71;33.8;;2.9;78.93;0.744;266.591
LSO;Lesotho;AF;2142252;29121.72;22.2;4.506;2.647;2851.153;59.6;3.94;27.15;2.117;;54.33;0.527;405.126
LBR;Liberia;AF;5057677;102951.06;19.2;3.057;1.756;752.788;38.6;2.42;9.8;1.188;0.8;64.1;0.48;272.509
LBY;Libya;AF;6871287;1896573.83;29.0;4.424;2.816;17881.509;;10.43;;;3.7;72.91;0.724;341.862
LIE;Liechtenstein;EU;38137;160.9;;;;;;7.77;;;2.397;82.49;0.919;
LTU;Lithuania;EU;2722291;60314.41;43.5;19.002;13.778;29524.265;0.7;3.67;29.65;;6.56;75.93;0.882;342.989
LUX;Luxembourg;EU;625976;2704.61;39.7;14.312;9.842;94277.965;0.2;4.42;23.45;;4.51;82.25;0.916;128.275
MAC;Macao;AS;649342;31.6;39.2;9.798;4.991;104861.851;;;;;;84.24;;
MDG;Madagascar;AF;27691019;630042.97;19.6;2.929;1.686;1416.44;77.6;3.94;;50.54;0.2;67.04;0.528;405.994
MWI;Malawi;AF;19129955;96851.21;18.1;2.979;1.783;1095.042;71.4;3.94;14.55;8.704;1.3;64.26;0.483;227.349
MYS;Malaysia;AS;32365998;336256.13;29.9;6.293;3.407;26808.164;0.1;16.74;21.7;;1.9;76.16;0.81;260.942
MDV;Maldives;AS;540542;371.65;30.6;4.12;2.875;15183.616;;9.19;28.55;95.803;;78.92;0.74;164.905
MLI;Mali;AF;20250834;1332642.4;16.4;2.519;1.486;2014.306;;2.42;12.3;52.232;0.1;59.31;0.434;268.024
MLT;Malta;EU;441539;303.66;42.4;19.426;11.324;36513.323;0.2;8.83;25.55;;4.485;82.53;0.895;168.711
MHL;Marshall Islands;OC;59194;200.55;;;;3819.202;;30.53;;82.502;2.7;73.7;0.704;557.793
MRT;Mauritania;AF;4649660;1084089.53;20.3;3.138;1.792;3597.633;6.0;2.42;;15.95;;64.92;0.546;232.347
MUS;Mauritius;AF;1271767;2041.48;37.4;10.945;5.884;20292.745;0.5;22.02;21.95;;3.4;74.99;0.804;224.644
MEX;Mexico;NA;128932753;1940472.47;29.3;6.857;4.321;17336.469;2.5;13.06;14.15;87.847;1.38;75.05;0.779;152.783
FSM;Micronesia (country);OC;115021;762.85;23.0;4.81;2.392;3299.464;16.0;12.02;;;;67.88;0.62;454.343
MDA;Moldova;EU;4033963;32622.72;37.6;10.864;6.955;5189.972;0.2;5.72;25.25;86.979;5.8;71.9;0.75;408.502
MCO;Monaco;EU;39244;2.02;;;;;;5.46;;;13.8;86.75;;
MNG;Mongolia;AS;3278292;1655703.03;28.6;4.031;2.421;11840.846;0.5;4.82;26.0;71.18;7.0;69.87;0.737;460.043
MNE;Montenegro;EU;628062;13570.91;39.1;14.762;9.395;16409.288;1.0;10.08;45.95;;3.861;76.88;0.829;387.305
MSR;Montserrat;NA;4999;nan;;;;;;;;;;74.16;;
MAR;Morocco;AF;36910558;460921.05;29.6;6.769;4.209;7485.013;1.0;7.14;23.95;;1.1;76.68;0.686;419.146
MOZ;Mozambique;AF;31255435;828441.34;17.7;3.158;1.87;1136.103;62.9;3.3;17.1;12.227;0.7;60.85;0.456;329.942
MMR;Myanmar;AS;54409794;665799.41;29.1;5.732;3.12;5591.597;6.4;4.61;20.75;79.287;0.9;67.13;0.583;202.104
NAM;Namibia;AF;2540916;825508.77;22.0;3.552;2.085;9541.808;13.4;3.94;21.95;44.6;;63.71;0.646;243.811
NRU;Nauru;OC;10834;15.87;;;;12895.635;;24.07;39.95;;5.0;59.96;;
NPL;Nepal;AS;29136808;142527.06;25.0;5.809;3.212;2442.804;15.0;7.26;23.65;47.782;0.3;70.78;0.602;260.797
NLD;Netherlands;EU;17134873;33693.98;43.2;18.779;11.881;48472.545;;5.29;25.85;;3.32;82.28;0.944;109.361
NZL;New Zealand;OC;4822233;264870.53;37.9;15.322;9.72;36085.843;;8.08;16.0;;2.61;82.29;0.931;128.797
NIC;Nicaragua;NA;6624554;128216.34;27.3;5.445;3.519;5321.444;3.2;11.47;;;0.9;74.48;0.66;137.016
NER;Niger;AF;24206636;1427698.96;15.1;2.553;1.378;926.0;44.5;2.42;7.75;8.978;0.3;62.42;0.394;238.339
NGA;Nigeria;AF;206139587;983546.7;18.1;2.751;1.447;5338.454;;2.42;5.7;41.949;;54.69;0.539;181.013
MKD;North Macedonia;EU;2083380;25222.51;39.1;13.26;8.16;13111.214;5.0;10.08;;;4.28;75.8;0.774;322.688
