CountryCode;Date;C1_School closing;C2_Workplace closing;C3_Cancel public events;C4_Restrictions on gatherings;C5_Close public transport;C6_Stay at home requirements;C7_Restrictions on internal movement;C8_International travel controls
CUB;2020-11-14;1;2;2;4;1;0;2;1
CUB;2020-11-15;1;2;2;4;1;0;2;1
CUB;2020-11-16;1;2;2;4;1;0;2;1
CUB;2020-11-17;1;2;2;4;1;0;2;1
CUB;2020-11-18;1;2;2;4;1;0;2;1
CUB;2020-11-19;1;2;2;4;1;0;2;1
CUB;2020-11-20;1;2;2;4;1;0;2;1
CUB;2020-11-21;1;2;2;4;1;0;2;1
CUB;2020-11-22;1;2;2;4;1;0;2;1
CUB;2020-11-23;1;2;2;4;1;0;2;1
CUB;2020-11-24;1;2;2;4;1;0;2;1
CUB;2020-11-25;1;2;2;4;1;0;2;1
CUB;2020-11-26;1;2;2;4;1;0;2;1
CUB;2020-11-27;1;2;2;4;1;0;2;1
CUB;2020-11-28;1;2;2;4;1;0;2;1
CUB;2020-11-29;1;2;2;4;1;0;2;1
CUB;2020-11-30;1;2;2;4;1;0;2;1
CUB;2020-12-01;1;2;2;4;1;0;2;1
CUB;2020-12-02;1;2;2;4;1;0;2;1
CUB;2020-12-03;1;2;2;4;1;0;2;1
CUB;2020-12-04;1;2;2;4;1;0;2;1
CUB;2020-12-05;1;2;2;4;1;0;2;1
CUB;2020-12-06;1;2;2;4;1;0;2;1
CUB;2020-12-07;1;2;2;4;1;0;2;1
CUB;2020-12-08;1;2;2;4;1;0;2;1
CUB;2020-12-09;1;2;2;4;1;0;2;1
CUB;2020-12-10;1;2;2;4;1;0;2;1
CUB;2020-12-11;1;2;2;4;1;0;2;1
CUB;2020-12-12;1;2;2;4;1;0;2;1
CUB;2020-12-13;1;2;2;4;1;0;2;1
CUB;2020-12-14;1;2;2;4;1;0;2;1
CUB;2020-12-15;1;2;2;4;1;0;2;1
CUB;2020-12-16;1;2;2;4;1;0;2;1
CUB;2020-12-17;1;2;2;4;1;0;2;1
CUB;2020-12-18;1;2;2;4;1;0;2;1
CUB;2020-12-19;1;2;2;4;1;0;2;1
CUB;2020-12-20;1;2;2;4;1;0;2;1
CUB;2020-12-21;1;2;2;4;1;0;2;1
CUB;2020-12-22;1;2;2;4;1;0;2;1
CUB;2020-12-23;1;2;2;4;1;0;2;1
CUB;2020-12-24;1;2;2;4;1;0;2;1
CUB;2020-12-25;1;2;2;4;1;0;2;1
CUB;2020-12-26;1;2;2;4;1;0;2;1
CUB;2020-12-27;1;2;2;4;1;0;2;1
CUB;2020-12-28;1;2;2;4;1;0;2;1
CUB;2020-12-29;1;2;2;4;1;0;2;1
CUB;2020-12-30;1;2;2;4;1;0;2;1
CUB;2020-12-31;1;2;2;4;1;0;2;1
CUB;2021-01-01;1;2;2;4;1;0;2;3
CUB;2021-01-02;1;2;2;4;1;0;2;3
CUB;2021-01-03;1;2;2;4;1;0;2;3
CUB;2021-01-04;1;2;2;4;1;0;2;3
CUB;2021-01-05;1;2;2;4;1;0;2;3
CUB;2021-01-06;1;2;2;4;1;0;2;3
CUB;2021-01-07;1;2;2;4;1;0;2;3
CUB;2021-01-08;1;2;2;4;1;0;2;3
CUB;2021-01-09;1;3;2;4;1;1;2;3
CUB;2021-01-10;1;3;2;4;1;1;2;2
CUB;2021-01-11;1;3;2;4;1;1;2;2
CUB;2021-01-12;1;3;2;4;1;1;2;2
CUB;2021-01-13;1;3;2;4;1;1;2;2
CUB;2021-01-14;3;3;2;4;2;1;2;2
CUB;2021-01-15;3;3;2;4;2;1;2;2
CUB;2021-01-16;3;3;2;4;2;1;2;2
CUB;2021-01-17;3;3;2;4;2;1;2;2
CUB;2021-01-18;3;3;2;4;2;1;2;2
CUB;2021-01-19;3;3;2;4;2;1;2;2
